# wavelength_nm   slope_a   correlation_r
    223.5000  +1.66752889e+01  +8.80293469e-01
    224.5000  +1.71940145e+01  +8.81746870e-01
    225.5000  +2.13204382e+01  +8.87039682e-01
    226.5000  +2.63777153e+01  +8.82105845e-01
    227.5000  +2.59842484e+01  +8.80355066e-01
    228.5000  +1.71506599e+01  +8.86843519e-01
    229.5000  +2.20308384e+01  +8.84542248e-01
    230.5000  +1.88626186e+01  +8.83504890e-01
    231.5000  +2.19334232e+01  +8.84818255e-01
    232.5000  +2.30259514e+01  +8.94130030e-01
    233.5000  +2.43921842e+01  +9.02447054e-01
    234.5000  +3.63936074e+01  +9.09608273e-01
    235.5000  +2.16291709e+01  +8.94899212e-01
    236.5000  +3.31324806e+01  +9.08982601e-01
    237.5000  +2.77683491e+01  +9.02147074e-01
    238.5000  +4.20706383e+01  +9.14055201e-01
    239.5000  +3.50498581e+01  +9.10421288e-01
    240.5000  +3.39608889e+01  +9.12021061e-01
    241.5000  +3.24746437e+01  +9.05724695e-01
    242.5000  +2.03431919e+01  +8.98728493e-01
    243.5000  +1.97186150e+01  +9.01902447e-01
    244.5000  +1.68709939e+01  +9.01932751e-01
    245.5000  +1.57772889e+01  +9.03455036e-01
    246.5000  +2.10624219e+01  +8.96069178e-01
    247.5000  +2.42169548e+01  +8.97162206e-01
    248.5000  +5.70909172e+01  +8.99499233e-01
    249.5000  +3.70187586e+01  +9.00338458e-01
    250.5000  +2.47863870e+01  +8.90276609e-01
    251.3000  +5.14494906e+01  +9.12358275e-01
    251.8000  +6.95602609e+01  +9.18086675e-01
    252.5000  +6.21217494e+01  +9.15784400e-01
    253.5000  +2.87810012e+01  +9.13806431e-01
    254.5000  +2.87704384e+01  +9.10865693e-01
    255.5000  +1.15029357e+01  +9.29934913e-01
    256.5000  +1.72142939e+01  +9.21400562e-01
    257.5000  +1.22759827e+01  +9.29317816e-01
    258.5000  +1.43954072e+01  +9.26295976e-01
    259.5000  +1.65497109e+01  +9.25018126e-01
    260.5000  +1.98441001e+01  +9.23080242e-01
    261.5000  +2.26675721e+01  +9.23012955e-01
    262.5000  +1.67075296e+01  +9.23619434e-01
    263.5000  +7.44954045e+00  +9.48223248e-01
    264.5000  +6.14720250e+00  +9.48490872e-01
    265.5000  +2.99596016e+00  +9.88460581e-01
    266.5000  +6.78030045e+00  +9.48505577e-01
    267.5000  +6.04640399e+00  +9.51383262e-01
    268.5000  +4.49920225e+00  +9.67943385e-01
    269.5000  +8.13305846e+00  +9.39897128e-01
    270.5000  +6.07739343e+00  +9.50344013e-01
    271.5000  +9.73649390e+00  +9.34471966e-01
    272.5000  +1.72809824e+01  +9.11326685e-01
    273.5000  +1.15282790e+01  +9.23799544e-01
    274.5000  +1.95882096e+01  +9.24869658e-01
    275.5000  +1.30271682e+01  +9.30710837e-01
    276.5000  +9.38488171e+00  +9.37378601e-01
    277.5000  +9.60685658e+00  +9.32035059e-01
    278.5000  +1.82588580e+01  +9.25560084e-01
    279.5000  +4.22260930e+01  +9.25870091e-01
    280.5000  +3.46098092e+01  +9.25625895e-01
    281.5000  +1.21614190e+01  +9.26122252e-01
    282.5000  +8.42818525e+00  +9.29657172e-01
    283.5000  +1.02496630e+01  +9.21477730e-01
    284.5000  +2.02965002e+01  +9.00349693e-01
    285.5000  +3.94059261e+01  +9.09391062e-01
    286.5000  +1.36297650e+01  +9.06173606e-01
    287.5000  +6.46353338e+00  +9.45174738e-01
    288.5000  +7.49927752e+00  +9.38773296e-01
    289.5000  +4.51095811e+00  +9.67475337e-01
    291.0000  +2.87750502e+00  +9.86973426e-01
    293.0000  +3.81437122e+00  +9.72625752e-01
    295.0000  +4.85492219e+00  +9.60275995e-01
    297.0000  +5.35130037e+00  +9.50985377e-01
    299.0000  +5.21910402e+00  +9.53591269e-01
    301.0000  +6.31288686e+00  +9.41200850e-01
    303.0000  +5.21104364e+00  +9.53600198e-01
    305.0000  +5.07670039e+00  +9.53787566e-01
    307.0000  +4.07711465e+00  +9.64885166e-01
    309.0000  +4.93795456e+00  +9.52190802e-01
    311.0000  +3.44745696e+00  +9.73605056e-01
    313.0000  +4.18715175e+00  +9.63666339e-01
    315.0000  +4.54892026e+00  +9.57179967e-01
    317.0000  +3.80629138e+00  +9.67621138e-01
    319.0000  +4.83952712e+00  +9.58483325e-01
    321.0000  +4.42912103e+00  +9.61283362e-01
    323.0000  +5.86852149e+00  +9.50081410e-01
    325.0000  +3.21253635e+00  +9.78938575e-01
    327.0000  +2.28951658e+00  +9.93848844e-01
    329.0000  +2.53068226e+00  +9.89146437e-01
    331.0000  +3.32137722e+00  +9.72875213e-01
    333.0000  +3.11217297e+00  +9.77032328e-01
    335.0000  +3.43263700e+00  +9.72401317e-01
    337.0000  +6.12713007e+00  +9.43452552e-01
    339.0000  +5.01526525e+00  +9.53090505e-01
    341.0000  +5.00380034e+00  +9.54427327e-01
    343.0000  +4.52305034e+00  +9.59613252e-01
    345.0000  +4.33138028e+00  +9.61415142e-01
    347.0000  +3.96150017e+00  +9.67203198e-01
    349.0000  +3.16661643e+00  +9.77688628e-01
    351.0000  +2.95699989e+00  +9.80821627e-01
    353.0000  +3.93541434e+00  +9.67124194e-01
    355.0000  +3.07778276e+00  +9.79540960e-01
    357.0000  +6.33817229e+00  +9.45897904e-01
    359.0000  +6.36071842e+00  +9.43266383e-01
    361.0000  +4.03135605e+00  +9.63919723e-01
    363.0000  +4.00958472e+00  +9.63373566e-01
    364.0000  +3.68047636e+00  +9.67474149e-01
    365.0000  +2.93632890e+00  +9.76944639e-01
    367.0000  +2.55594042e+00  +9.84056622e-01
    369.0000  +3.21904350e+00  +9.74024556e-01
    371.0000  +2.93923111e+00  +9.77331541e-01
    373.0000  +6.55354517e+00  +9.41408309e-01
    375.0000  +5.32280275e+00  +9.51579795e-01
    377.0000  +3.48221383e+00  +9.72694176e-01
    379.0000  +3.49899416e+00  +9.75398965e-01
    381.0000  +4.53028037e+00  +9.59753802e-01
    383.0000  +1.04934332e+01  +9.26215958e-01
    385.0000  +7.70572445e+00  +9.33256166e-01
    387.0000  +8.46003284e+00  +9.24125406e-01
    389.0000  +4.85835413e+00  +9.51466243e-01
    391.0000  +2.98627039e+00  +9.82255636e-01
    393.0000  +8.40705613e+00  +9.42891734e-01
    395.0000  +3.68215138e+00  +9.71173358e-01
    397.0000  +6.41931654e+00  +9.49936471e-01
    399.0000  +1.70242910e+00  +9.99023622e-01
    401.0000  +1.41612297e+00  +9.90996802e-01
    403.0000  +1.51368244e+00  +9.94953450e-01
    405.0000  +1.78695051e+00  +9.98883408e-01
    407.0000  +2.17536457e+00  +9.96032673e-01
    409.0000  +1.30103641e+00  +9.92114295e-01
    411.0000  +1.29535114e+00  +9.94346992e-01
    413.0000  +1.52048596e+00  +9.95387886e-01
    415.0000  +1.70212885e+00  +9.98265038e-01
    417.0000  +1.53323479e+00  +9.94532364e-01
    419.0000  +1.93912160e+00  +9.98637493e-01
    421.0000  +1.82437703e+00  +9.99135669e-01
    423.0000  +2.04132009e+00  +9.96642430e-01
    425.0000  +2.09491891e+00  +9.95457352e-01
    427.0000  +2.54816218e+00  +9.86199529e-01
    429.0000  +3.18094335e+00  +9.75188397e-01
    431.0000  +4.59680925e+00  +9.54902123e-01
    433.0000  +1.80398791e+00  +9.97894441e-01
    435.0000  +1.84300151e+00  +9.97421512e-01
    437.0000  +1.52614488e+00  +9.98669627e-01
    439.0000  +2.14421431e+00  +9.93627407e-01
    441.0000  +1.64359568e+00  +9.99192792e-01
