# wavelength_nm   slope_a   correlation_r
    221.5000  +2.06129820e+00  +8.99177930e-01
    222.5000  +2.08697320e+00  +8.93475653e-01
    223.5000  +2.10816623e+00  +8.90127393e-01
    224.5000  +2.10076798e+00  +8.91915536e-01
    225.5000  +2.04680219e+00  +9.06151842e-01
    226.5000  +2.02975100e+00  +9.08989894e-01
    227.5000  +2.01440038e+00  +9.13407404e-01
    228.5000  +2.07588810e+00  +9.00585395e-01
    229.5000  +2.04136915e+00  +9.08047071e-01
    230.5000  +2.07094333e+00  +9.02268291e-01
    231.5000  +2.02490372e+00  +9.13125423e-01
    232.5000  +1.97263926e+00  +9.28170507e-01
    233.5000  +1.91631542e+00  +9.43068354e-01
    234.5000  +1.80208360e+00  +9.73411399e-01
    235.5000  +1.97299607e+00  +9.27661272e-01
    236.5000  +1.81277288e+00  +9.71041803e-01
    237.5000  +1.87276543e+00  +9.55130543e-01
    238.5000  +1.73837161e+00  +9.86898795e-01
    239.5000  +1.77876920e+00  +9.78507629e-01
    240.5000  +1.76322144e+00  +9.81445404e-01
    241.5000  +1.84026089e+00  +9.63746724e-01
    242.5000  +1.96191330e+00  +9.32785662e-01
    243.5000  +1.94662877e+00  +9.37638960e-01
    244.5000  +1.97028759e+00  +9.31762660e-01
    245.5000  +1.98084521e+00  +9.29727702e-01
    246.5000  +1.94605472e+00  +9.36443709e-01
    247.5000  +1.92170205e+00  +9.42091447e-01
    248.5000  +1.74541790e+00  +9.84943616e-01
    249.5000  +1.84568509e+00  +9.62070788e-01
    250.5000  +1.92525616e+00  +9.40494158e-01
    251.3000  +1.63875107e+00  +9.98844853e-01
    251.8000  +1.61323769e+00  +9.99881462e-01
    252.5000  +1.64664614e+00  +9.98390517e-01
    253.5000  +1.81773893e+00  +9.68825182e-01
    254.5000  +1.80269532e+00  +9.71453758e-01
    255.5000  +1.90127646e+00  +9.56200906e-01
    256.5000  +1.85414194e+00  +9.64274038e-01
    257.5000  +1.87965441e+00  +9.60651113e-01
    258.5000  +1.85875214e+00  +9.63826780e-01
    259.5000  +1.82352805e+00  +9.70696520e-01
    260.5000  +1.78640494e+00  +9.76288860e-01
    261.5000  +1.76406317e+00  +9.80992270e-01
    262.5000  +1.81683600e+00  +9.69996433e-01
    263.5000  +1.88338359e+00  +9.60925580e-01
    264.5000  +1.89353139e+00  +9.60895617e-01
    265.5000  +1.87508913e+00  +9.67205962e-01
    266.5000  +1.87265332e+00  +9.64360278e-01
    267.5000  +1.88108391e+00  +9.63432752e-01
    268.5000  +1.87425231e+00  +9.66074026e-01
    269.5000  +1.86992777e+00  +9.65367856e-01
    270.5000  +1.86072163e+00  +9.68108047e-01
    271.5000  +1.85216453e+00  +9.67791656e-01
    272.5000  +1.83460065e+00  +9.65791910e-01
    273.5000  +1.85817051e+00  +9.64168709e-01
    274.5000  +1.73426725e+00  +9.84535970e-01
    275.5000  +1.79633480e+00  +9.75432360e-01
    276.5000  +1.82218313e+00  +9.71344578e-01
    277.5000  +1.80688048e+00  +9.72875919e-01
    278.5000  +1.66992971e+00  +9.93944216e-01
    279.5000  +1.56783007e+00  +9.99922370e-01
    280.5000  +1.58393379e+00  +9.99683931e-01
    281.5000  +1.75447268e+00  +9.81685045e-01
    282.5000  +1.84134173e+00  +9.67725754e-01
    283.5000  +1.84451620e+00  +9.66055461e-01
    284.5000  +1.76953114e+00  +9.77089506e-01
    285.5000  +1.63820638e+00  +9.97452685e-01
    286.5000  +1.85466790e+00  +9.61438146e-01
    287.5000  +1.86245664e+00  +9.66686538e-01
    288.5000  +1.82727928e+00  +9.72092600e-01
    289.5000  +1.82281705e+00  +9.75179229e-01
    291.0000  +1.80421622e+00  +9.77717863e-01
    293.0000  +1.79997689e+00  +9.78603789e-01
    295.0000  +1.81293063e+00  +9.76332909e-01
    297.0000  +1.81619954e+00  +9.76037375e-01
    299.0000  +1.81044623e+00  +9.77155139e-01
    301.0000  +1.82382008e+00  +9.74293642e-01
    303.0000  +1.80361212e+00  +9.78055017e-01
    305.0000  +1.80241260e+00  +9.77917681e-01
    307.0000  +1.77121848e+00  +9.81803027e-01
    309.0000  +1.77191002e+00  +9.81005513e-01
    311.0000  +1.72892536e+00  +9.85721916e-01
    313.0000  +1.75200178e+00  +9.82332955e-01
    315.0000  +1.70328190e+00  +9.86002437e-01
    317.0000  +1.68580260e+00  +9.86809621e-01
    319.0000  +1.70303273e+00  +9.86228416e-01
    321.0000  +1.71556399e+00  +9.84918236e-01
    323.0000  +1.70106608e+00  +9.85708008e-01
    325.0000  +1.65915956e+00  +9.89506363e-01
    327.0000  +1.64418458e+00  +9.90271434e-01
    329.0000  +1.61975814e+00  +9.90873899e-01
    331.0000  +1.65236359e+00  +9.89070622e-01
    333.0000  +1.63971075e+00  +9.90252775e-01
    335.0000  +1.64959492e+00  +9.89393945e-01
    337.0000  +1.68359457e+00  +9.87525396e-01
    339.0000  +1.68728773e+00  +9.87055472e-01
    341.0000  +1.67870838e+00  +9.87777055e-01
    343.0000  +1.66096140e+00  +9.89054925e-01
    345.0000  +1.66212381e+00  +9.90080357e-01
    347.0000  +1.66611897e+00  +9.90241932e-01
    349.0000  +1.62878885e+00  +9.92287962e-01
    351.0000  +1.59636265e+00  +9.93247898e-01
    353.0000  +1.60805394e+00  +9.92936387e-01
    355.0000  +1.59398526e+00  +9.93010078e-01
    357.0000  +1.67187953e+00  +9.89128029e-01
    359.0000  +1.64160154e+00  +9.92166781e-01
    361.0000  +1.59958329e+00  +9.94326560e-01
    363.0000  +1.56733265e+00  +9.95086621e-01
    364.0000  +1.55323039e+00  +9.95051736e-01
    365.0000  +1.53367940e+00  +9.95602664e-01
    367.0000  +1.50139334e+00  +9.96317980e-01
    369.0000  +1.54398364e+00  +9.95914167e-01
    371.0000  +1.57030245e+00  +9.96507648e-01
    373.0000  +1.64699439e+00  +9.93138162e-01
    375.0000  +1.64923649e+00  +9.92317987e-01
    377.0000  +1.57924072e+00  +9.93952091e-01
    379.0000  +1.58479704e+00  +9.92210470e-01
    381.0000  +1.62882308e+00  +9.88853447e-01
    383.0000  +1.62781866e+00  +9.90767492e-01
    385.0000  +1.67504174e+00  +9.83139052e-01
    387.0000  +1.67356742e+00  +9.83373301e-01
    389.0000  +1.60628670e+00  +9.92731721e-01
    391.0000  +1.57559283e+00  +9.91615536e-01
    393.0000  +1.57026892e+00  +9.95220199e-01
    395.0000  +1.56541294e+00  +9.92655940e-01
    397.0000  +1.53912795e+00  +9.96173234e-01
    399.0000  +1.49873606e+00  +9.94383402e-01
    401.0000  +1.47975389e+00  +9.94481833e-01
    403.0000  +1.50826232e+00  +9.94047021e-01
    405.0000  +1.51031609e+00  +9.93948141e-01
    407.0000  +1.53096540e+00  +9.93532631e-01
    409.0000  +1.44523989e+00  +9.96642214e-01
    411.0000  +1.47054576e+00  +9.98096126e-01
    413.0000  +1.50689800e+00  +9.94852912e-01
    415.0000  +1.52965846e+00  +9.94075523e-01
    417.0000  +1.51904397e+00  +9.94470011e-01
    419.0000  +1.50928685e+00  +9.94144493e-01
    421.0000  +1.51030734e+00  +9.94844509e-01
    423.0000  +1.53636203e+00  +9.95218521e-01
    425.0000  +1.49204385e+00  +9.94828387e-01
    427.0000  +1.49566789e+00  +9.94537695e-01
    429.0000  +1.48148020e+00  +9.94676886e-01
    431.0000  +1.44039560e+00  +9.95463846e-01
    433.0000  +1.41745973e+00  +9.97180433e-01
    435.0000  +1.37995492e+00  +9.97886276e-01
    437.0000  +1.40772059e+00  +9.95966750e-01
    439.0000  +1.43759821e+00  +9.95445049e-01
    441.0000  +1.44124516e+00  +9.95992899e-01
    443.0000  +1.41643916e+00  +9.97170947e-01
    445.0000  +1.40079785e+00  +9.97407826e-01
    447.0000  +1.38234794e+00  +9.97765307e-01
    449.0000  +1.36848156e+00  +9.98040685e-01
    451.0000  +1.33409111e+00  +9.98461324e-01
    453.0000  +1.36711876e+00  +9.98321418e-01
    455.0000  +1.34713507e+00  +9.98418439e-01
    457.0000  +1.33635426e+00  +9.98549111e-01
    459.0000  +1.33143763e+00  +9.98631216e-01
    461.0000  +1.32881478e+00  +9.98653172e-01
    463.0000  +1.32884966e+00  +9.98645858e-01
    465.0000  +1.33233472e+00  +9.98707604e-01
    467.0000  +1.31353783e+00  +9.98782841e-01
    469.0000  +1.31393132e+00  +9.98899026e-01
    471.0000  +1.31564459e+00  +9.99054565e-01
    473.0000  +1.32558698e+00  +9.98963649e-01
    475.0000  +1.32521684e+00  +9.99134718e-01
    477.0000  +1.33537636e+00  +9.99237566e-01
    479.0000  +1.32387910e+00  +9.99269297e-01
    481.0000  +1.30045563e+00  +9.99212828e-01
    483.0000  +1.29549968e+00  +9.99397120e-01
    485.0000  +1.26780828e+00  +9.99795802e-01
    487.0000  +1.24565621e+00  +9.99942549e-01
    489.0000  +1.28912164e+00  +9.99486523e-01
    491.0000  +1.28805290e+00  +9.99464761e-01
    493.0000  +1.30318653e+00  +9.99416085e-01
    495.0000  +1.29804140e+00  +9.99543749e-01
    497.0000  +1.30935121e+00  +9.99482599e-01
    499.0000  +1.31861468e+00  +9.99489576e-01
    501.0000  +1.33862711e+00  +9.99443656e-01
