# wavelength_nm   slope_a   correlation_r
    199.5000  +4.89095075e+00  +9.21542697e-01
    200.5000  +4.75881158e+00  +9.33904575e-01
    201.5000  +4.70014330e+00  +9.39559832e-01
    202.5000  +4.40959183e+00  +9.70547220e-01
    203.5000  +4.63367171e+00  +9.45426031e-01
    204.5000  +4.66057450e+00  +9.41427198e-01
    205.5000  +4.50300955e+00  +9.55629939e-01
    206.5000  +4.45693771e+00  +9.59634505e-01
    207.4000  +4.40106739e+00  +9.66284119e-01
    207.8000  +5.73190077e+00  +8.58378080e-01
    208.5000  +5.88179472e+00  +8.48551153e-01
    209.5000  +5.80228521e+00  +8.52393229e-01
    210.5000  +5.65688042e+00  +8.61934769e-01
    211.5000  +5.72312330e+00  +8.58753147e-01
    212.5000  +5.62807378e+00  +8.66421924e-01
    213.5000  +5.49194568e+00  +8.71946276e-01
    214.5000  +5.61014164e+00  +8.66562807e-01
    215.5000  +5.64817610e+00  +8.63373627e-01
    216.5000  +5.40638119e+00  +8.76580088e-01
    217.5000  +5.45535537e+00  +8.69637050e-01
    218.5000  +5.58137561e+00  +8.71750270e-01
    219.5000  +5.50056713e+00  +8.71782863e-01
    220.5000  +5.42102642e+00  +8.77490221e-01
    221.5000  +5.21944550e+00  +8.88293791e-01
    222.5000  +5.29419623e+00  +8.85759397e-01
    223.5000  +5.28560753e+00  +8.87418560e-01
    224.5000  +5.24987249e+00  +8.88405397e-01
    225.5000  +5.00245623e+00  +8.99188349e-01
    226.5000  +5.01621172e+00  +8.97782585e-01
    227.5000  +4.89991039e+00  +9.03116210e-01
    228.5000  +5.02969608e+00  +8.99005548e-01
    229.5000  +4.91259012e+00  +9.02306696e-01
    230.5000  +5.09285589e+00  +8.99714591e-01
    231.5000  +4.91894475e+00  +9.06137704e-01
    232.5000  +4.66117316e+00  +9.19072901e-01
    233.5000  +4.36808282e+00  +9.31477997e-01
    234.5000  +3.97424521e+00  +9.63463209e-01
    235.5000  +4.66281324e+00  +9.17353203e-01
    236.5000  +4.02198395e+00  +9.60871445e-01
    237.5000  +4.24657423e+00  +9.42552497e-01
    238.5000  +3.72097963e+00  +9.80345044e-01
    239.5000  +3.86306269e+00  +9.69228662e-01
    240.5000  +3.76306161e+00  +9.73066220e-01
    241.5000  +4.14009919e+00  +9.52647655e-01
    242.5000  +4.52169704e+00  +9.26283037e-01
    243.5000  +4.37993466e+00  +9.33073415e-01
    244.5000  +4.43671858e+00  +9.28772673e-01
    245.5000  +4.45878614e+00  +9.28170275e-01
    246.5000  +4.49972372e+00  +9.28403349e-01
    247.5000  +4.41043331e+00  +9.33280861e-01
    248.5000  +4.04135544e+00  +9.75830192e-01
    249.5000  +4.22765965e+00  +9.51054248e-01
    250.5000  +4.44758911e+00  +9.30251175e-01
    251.3000  +3.43700701e+00  +9.97632677e-01
    251.8000  +3.40930285e+00  +9.99791062e-01
    252.5000  +3.50378714e+00  +9.96978413e-01
    253.5000  +3.75989610e+00  +9.63972771e-01
    254.5000  +3.73224113e+00  +9.65701923e-01
    255.5000  +3.46900653e+00  +9.62867647e-01
    256.5000  +3.58315130e+00  +9.65312509e-01
    257.5000  +3.52547229e+00  +9.65456882e-01
    258.5000  +3.50576648e+00  +9.65379963e-01
    259.5000  +3.47123255e+00  +9.70021714e-01
    260.5000  +3.41375763e+00  +9.71452760e-01
    261.5000  +3.35152547e+00  +9.77110177e-01
    262.5000  +3.45831974e+00  +9.66713443e-01
    263.5000  +3.25434703e+00  +9.68012379e-01
    264.5000  +3.22399405e+00  +9.69502372e-01
    265.5000  +2.90560077e+00  +9.77028764e-01
    266.5000  +3.12347137e+00  +9.71313384e-01
    267.5000  +3.19503948e+00  +9.71466618e-01
    268.5000  +3.05498296e+00  +9.74724431e-01
    269.5000  +3.18260240e+00  +9.73136405e-01
    270.5000  +2.99658748e+00  +9.75722017e-01
    271.5000  +3.13282031e+00  +9.73930326e-01
    272.5000  +3.55046223e+00  +9.64258983e-01
    273.5000  +3.36783540e+00  +9.67763902e-01
