# wavelength_nm   slope_a   correlation_r
    227.5000  +2.01930931e+01  +8.14214615e-01
    228.5000  +1.36501761e+01  +8.36090718e-01
    229.5000  +1.73314677e+01  +8.26199933e-01
    230.5000  +1.48943171e+01  +8.28117767e-01
    231.5000  +1.72477593e+01  +8.26049538e-01
    232.5000  +1.83591023e+01  +8.42458634e-01
    233.5000  +1.96749931e+01  +8.56276514e-01
    234.5000  +2.96140103e+01  +8.67101922e-01
    235.5000  +1.72655757e+01  +8.43856151e-01
    236.5000  +2.69432858e+01  +8.66248959e-01
    237.5000  +2.23354055e+01  +8.54095386e-01
    238.5000  +3.44928839e+01  +8.75197033e-01
    239.5000  +2.85658873e+01  +8.68711858e-01
    240.5000  +2.77480672e+01  +8.71499247e-01
    241.5000  +2.62781049e+01  +8.60700099e-01
    242.5000  +1.63902689e+01  +8.52950311e-01
    243.5000  +1.59819355e+01  +8.59185616e-01
    244.5000  +1.37247688e+01  +8.61672575e-01
    245.5000  +1.28998563e+01  +8.66029086e-01
    246.5000  +1.68719313e+01  +8.47069277e-01
    247.5000  +1.93924313e+01  +8.47592866e-01
    248.5000  +4.54911867e+01  +8.45447652e-01
    249.5000  +2.96451512e+01  +8.49742014e-01
    250.5000  +1.95966924e+01  +8.33733871e-01
    251.3000  +4.20329297e+01  +8.71643150e-01
    251.8000  +5.73983692e+01  +8.82180370e-01
    252.5000  +5.10308715e+01  +8.77618788e-01
    253.5000  +2.36380416e+01  +8.76238944e-01
    254.5000  +2.34963843e+01  +8.70481537e-01
    255.5000  +9.83278275e+00  +9.11118118e-01
    256.5000  +1.43827559e+01  +8.92276940e-01
    257.5000  +1.04446961e+01  +9.08232224e-01
    258.5000  +1.21424348e+01  +9.01286299e-01
    259.5000  +1.38877205e+01  +8.97406848e-01
    260.5000  +1.65526828e+01  +8.92487761e-01
    261.5000  +1.88966690e+01  +8.92052871e-01
    262.5000  +1.39789511e+01  +8.94718405e-01
    263.5000  +6.60830273e+00  +9.41419639e-01
    264.5000  +5.48866663e+00  +9.43953828e-01
    265.5000  +2.99040842e+00  +9.90977773e-01
    266.5000  +6.01756846e+00  +9.41748150e-01
    267.5000  +5.41431094e+00  +9.47171780e-01
    268.5000  +4.19052336e+00  +9.70321067e-01
    269.5000  +7.08913169e+00  +9.27784796e-01
    270.5000  +5.41755740e+00  +9.44832739e-01
    271.5000  +8.36451941e+00  +9.16974871e-01
    272.5000  +1.41670166e+01  +8.73352505e-01
    273.5000  +9.70952694e+00  +8.98697631e-01
    274.5000  +1.63740948e+01  +8.95001088e-01
    275.5000  +1.10325947e+01  +9.06696949e-01
    276.5000  +8.08091558e+00  +9.20268932e-01
    277.5000  +8.17562628e+00  +9.10457823e-01
    278.5000  +1.52736473e+01  +8.95750404e-01
    279.5000  +3.52675168e+01  +8.95188239e-01
    280.5000  +2.89095421e+01  +8.95072648e-01
    281.5000  +1.02001543e+01  +8.97870285e-01
    282.5000  +7.17782564e+00  +9.09080557e-01
    283.5000  +8.61339145e+00  +8.95767092e-01
    284.5000  +1.62708348e+01  +8.50517505e-01
    285.5000  +3.19527740e+01  +8.64553625e-01
    286.5000  +1.11442013e+01  +8.67928187e-01
    287.5000  +5.72230364e+00  +9.38308379e-01
    288.5000  +6.51081776e+00  +9.25228537e-01
    289.5000  +4.16632603e+00  +9.68233010e-01
    291.0000  +2.81461002e+00  +9.90156519e-01
    293.0000  +3.55771678e+00  +9.74182311e-01
    295.0000  +4.40279951e+00  +9.57993408e-01
    297.0000  +4.76470485e+00  +9.44781516e-01
    299.0000  +4.66294557e+00  +9.48046467e-01
    301.0000  +5.51947080e+00  +9.30130132e-01
    303.0000  +4.66025957e+00  +9.48341707e-01
    305.0000  +4.54357574e+00  +9.48745198e-01
    307.0000  +3.72056906e+00  +9.63201748e-01
    309.0000  +4.38950877e+00  +9.45131592e-01
    311.0000  +3.20164739e+00  +9.74017525e-01
    313.0000  +3.81161974e+00  +9.61596857e-01
    315.0000  +4.06626892e+00  +9.50824675e-01
    317.0000  +3.47796781e+00  +9.65551582e-01
    319.0000  +4.33135256e+00  +9.52239731e-01
    321.0000  +3.99877585e+00  +9.57259723e-01
    323.0000  +5.16006150e+00  +9.39136812e-01
    325.0000  +3.01405439e+00  +9.79875779e-01
    327.0000  +2.25985140e+00  +9.95462686e-01
    329.0000  +2.44409951e+00  +9.91090777e-01
    331.0000  +3.06972712e+00  +9.72345613e-01
    333.0000  +2.89962114e+00  +9.77161673e-01
    335.0000  +3.16629163e+00  +9.71507085e-01
    337.0000  +5.31346393e+00  +9.28121221e-01
    339.0000  +4.43864075e+00  +9.44032915e-01
    341.0000  +4.43965579e+00  +9.45985087e-01
    343.0000  +4.05120977e+00  +9.53320856e-01
    345.0000  +3.89571334e+00  +9.56071901e-01
    347.0000  +3.60701876e+00  +9.64158600e-01
    349.0000  +2.94791332e+00  +9.77405351e-01
    351.0000  +2.77286034e+00  +9.81105272e-01
    353.0000  +3.57244438e+00  +9.63181088e-01
    355.0000  +2.88410326e+00  +9.80068510e-01
    357.0000  +5.53288453e+00  +9.32890457e-01
    359.0000  +5.50825531e+00  +9.27231534e-01
    361.0000  +3.62325240e+00  +9.57574413e-01
    363.0000  +3.59712539e+00  +9.56544241e-01
    364.0000  +3.32766853e+00  +9.62084305e-01
    365.0000  +2.71513511e+00  +9.75222567e-01
    367.0000  +2.40257003e+00  +9.83788068e-01
    369.0000  +2.95447637e+00  +9.71218863e-01
    371.0000  +2.71397314e+00  +9.75269644e-01
    373.0000  +5.65217923e+00  +9.23904474e-01
    375.0000  +4.68362929e+00  +9.40468030e-01
    377.0000  +3.19505559e+00  +9.70248605e-01
    379.0000  +3.24614529e+00  +9.75101962e-01
    381.0000  +4.08347257e+00  +9.55517968e-01
    383.0000  +8.81331379e+00  +8.98795772e-01
    385.0000  +6.61013989e+00  +9.15281005e-01
    387.0000  +7.12207204e+00  +8.98648291e-01
    389.0000  +4.27144722e+00  +9.40009463e-01
    391.0000  +2.82636112e+00  +9.83664070e-01
    393.0000  +7.23300610e+00  +9.23885585e-01
    395.0000  +3.36243768e+00  +9.67972221e-01
    397.0000  +5.58207456e+00  +9.34083973e-01
    399.0000  +1.76782169e+00  +9.96789688e-01
    401.0000  +1.54606871e+00  +9.84703481e-01
    403.0000  +1.62864228e+00  +9.89358515e-01
    405.0000  +1.85831605e+00  +9.96328093e-01
    407.0000  +2.16992477e+00  +9.96877582e-01
    409.0000  +1.40501183e+00  +9.87998707e-01
    411.0000  +1.37488845e+00  +9.92313940e-01
    413.0000  +1.62889707e+00  +9.90565603e-01
    415.0000  +1.79140611e+00  +9.94556953e-01
    417.0000  +1.65245049e+00  +9.88923391e-01
    419.0000  +1.97547770e+00  +9.97958823e-01
    421.0000  +1.87292459e+00  +9.97806175e-01
    423.0000  +2.03103462e+00  +9.97474807e-01
    425.0000  +2.07714640e+00  +9.96611903e-01
    427.0000  +2.42877123e+00  +9.87555612e-01
    429.0000  +2.94197766e+00  +9.74186395e-01
    431.0000  +4.05412783e+00  +9.43946388e-01
    433.0000  +1.79415914e+00  +9.98481330e-01
    435.0000  +1.81513853e+00  +9.97969329e-01
    437.0000  +1.59425285e+00  +9.96013520e-01
    439.0000  +2.09740736e+00  +9.95107228e-01
    441.0000  +1.70168064e+00  +9.97230193e-01
    443.0000  +1.30078572e+00  +9.75541413e-01
    445.0000  +1.39142882e+00  +9.87105556e-01
    447.0000  +1.12394505e+00  +9.49869730e-01
